Modelo;Cam_X_Robot;Cam_Y_Robot;Cam_Z_Robot;Robot_Pred_X;Robot_Pred_Y;Robot_Pred_Z;Robot_Real_X;Robot_Real_Y;Robot_Real_Z;Tiempo_Ms
LINEAL;-0.07264137613554818;0.09556281850230317;1.419566567942721;-0.003860605273188142;-0.5810550340556287;-0.13165497955076308;0.002722350281019946;-0.6872586050969991;-0.13003780313997632;0.014400000509340316
LINEAL;-0.07299877852452037;0.09453769028541817;1.414065509826646;-0.00359334406319424;-0.5838144246623488;-0.1324502251121743;0.00272355777778051;-0.6871055321024249;-0.13014051699019136;0.015100000382517464
LINEAL;-0.0730278379021693;0.09569404188786033;1.424153578982263;-0.003571613809922977;-0.5787541394080251;-0.13155318270896432;0.0027014004111342227;-0.6870398741874445;-0.13018608097146164;0.015300000086426735
LINEAL;-0.07323065558449304;0.09548154057684634;1.416817716450371;-0.0034199491852351382;-0.5824338878737867;-0.13171803108753247;0.0027322424513905735;-0.6870678963650694;-0.13014202548103765;0.014400000509340316
LINEAL;-0.07316696413815289;0.09537463779643066;1.4258049029564983;-0.0034675768831475134;-0.5779258173348877;-0.1318009611642076;0.0027348885988796082;-0.6870834702274969;-0.13013472419514283;0.014600000213249587
LINEAL;-0.0733141313260832;0.09442478186189467;1.4178085108349123;-0.00335752702916986;-0.5819368946299042;-0.13253781408024098;0.002816353800290582;-0.6871094981171609;-0.1301283209252037;0.014299999747890979
LINEAL;-0.0734024316388414;0.09385486830117307;1.413010675561961;-0.003291497116783268;-0.584343541006914;-0.13297992582986104;0.002867035636204686;-0.687097869546535;-0.130098815263976;0.014299999747890979
LINEAL;-0.07327002977076191;0.0943986344310267;1.4235206784234522;-0.00339050564207638;-0.5790716092147641;-0.13255809800960472;0.0028850152089964646;-0.687121752869244;-0.13003913524082003;0.01480000173614826
LINEAL;-0.07337597070564862;0.09470429610274615;1.4164379761150847;-0.0033112842845271634;-0.58262436975783;-0.13232098026791672;0.0028940201877260194;-0.6871450820131344;-0.1299607137291507;0.016599999071331695
LINEAL;-0.07343953526658065;0.09402257684568396;1.4121883547300642;-0.003263751469997647;-0.5847560260836696;-0.13284982554246647;0.002878936622046258;-0.6870855671814855;-0.1299946322338137;0.01669999983278103
LINEAL;-0.07347767400313986;0.09361354529144665;1.4096385818990518;-0.0032352317812799486;-0.5860350198791734;-0.13316713270719632;0.0028906765972320204;-0.6870454675516964;-0.13002657671850834;0.017700000171316788
LINEAL;-0.07350055724507538;0.09423324261899813;1.4081087182004444;-0.003218119968049299;-0.5868024161564757;-0.13268640108647167;0.0028843206238595566;-0.6870507863196293;-0.1300146678114638;0.014999999621068127
LINEAL;-0.0735142871902367;0.09373994475543515;1.4071907999812798;-0.0032078528801109257;-0.587262853922857;-0.13306907803359944;0.0028959839071482515;-0.6871331660455741;-0.13002112356669696;0.014200000805431046
LINEAL;-0.07352252515733348;0.09344396603729736;1.4066400490497812;-0.0032016926273479157;-0.5875391165826858;-0.13329868420187613;0.0029651914299233975;-0.6877065151063172;-0.13001964721123543;0.018799999452312477
LINEAL;-0.07352746793759156;0.09413149506650856;1.406309598490882;-0.003197996475690107;-0.5877048741785831;-0.13276533198327956;0.003011424787724486;-0.6884218518896607;-0.12998712802284113;0.01680000059423037
LINEAL;-0.0735304336057464;0.09454401248403527;1.4061113281555424;-0.0031957787846954022;-0.5878043287361215;-0.1324453206521216;0.0031054031584181315;-0.688853601420615;-0.12996549991156814;0.015300000086426735
LINEAL;-0.07353221300663931;0.09479152293455129;1.4059923659543387;-0.0031944481700985905;-0.5878640014706445;-0.13225331385342684;0.0031460797293294753;-0.6893622341112637;-0.12996938013965809;0.013700000636163168
LINEAL;-0.07353328064717506;0.09494002920486092;1.4059209886336166;-0.0031936498013405146;-0.5878998051113583;-0.13213810977420998;0.003272786500423979;-0.6900701615613958;-0.12995869666150345;0.015200001143966801
LINEAL;-0.07371087683015207;0.09416401670695282;1.3930980356716147;-0.003060845510666252;-0.5943319378405809;-0.13274010324624244;0.003575394896189186;-0.6899643478288087;-0.12995097322285418;0.015499999790336005
LINEAL;-0.07381743453993828;0.09454386373511789;1.3854042638944137;-0.0029811629362616887;-0.5981912174781143;-0.13244543604443484;0.004033367223065746;-0.6895759137388214;-0.12995972648793214;0.015100000382517464
LINEAL;-0.07456952982724831;0.09479143368520088;1.3935681273976614;-0.0024187551216546116;-0.5940961347158402;-0.13225338308881476;0.004735306856757524;-0.6893969631960086;-0.1300096660954509;0.015499999790336005
