ID;Robot_X;Robot_Y;Robot_Z;Cam_X;Cam_Y;Cam_Z
0;-0.3400044319233799;-0.7099949105684193;-0.17999399953554363;0.09764999785809522;0.23017499495122443;1.5112499668514736
1;-0.11499868480837659;-0.709976178907905;-0.18002199718120465;0.29176469948263745;0.045588234294162096;1.1852940916482146
2;0.11000841391274731;-0.7099941500263476;-0.1799851700819998;0.058630433496578906;0.03841304263568963;1.3141304059578032
3;-0.34000211119346396;-0.512527690031859;-0.17997121872542224;-0.20592856691162936;0.033214284985746675;1.439285682715689
4;-0.11500468993522617;-0.5124767346716433;-0.18000941027952377;0.3395581320868427;0.05406976625586667;1.4058139226525335
5;0.10999485574279753;-0.5124989842088378;-0.17999710918240652;0.10253845928933075;0.04769230664620035;1.5499999660015114
6;-0.33999567091954025;-0.3149957870737125;-0.1799998981225919;-0.16533332970682788;0.03874999915003778;1.6791666298349706
7;-0.11500420461784336;-0.3149954968416378;-0.1800087656766563;0.37689472857510437;0.06363157755164099;1.5907894387910249
8;0.11000159330883914;-0.31501198864351787;-0.17999738066465498;0.1477058791130852;0.05744117521064424;1.777941137472322
9;-0.33999697373596977;-0.7099906872377659;0.005500240583817345;-0.12299999730205542;0.050999998881340054;1.9499999572277078
10;-0.11500762991023412;-0.7099919288908931;0.005503953719632498;0.28078845537950453;0.24144230239638928;1.1624999745011335
11;0.10998355008572114;-0.7099890750331317;0.005488944915872818;0.04946808402132483;0.24931914346747716;1.2861701845544455
12;-0.3400019084574505;-0.5125178408380191;0.005494831374101644;-0.2169999952402116;0.2612857085545405;1.439285682715689
13;-0.11500770050403668;-0.5124818286255203;0.0054881158861896095;0.3254999928603174;0.2536363580729746;1.3738636062286123
14;0.1100119386802237;-0.5125004361185185;0.005496357622145592;0.09299999796009069;0.2627249942372562;1.5112499668514736
15;-0.34000238323944787;-0.3149838744715124;0.005481237018677115;-0.17566666281350463;0.27383332732693366;1.6791666298349706
16;-0.11501245371061741;-0.314989417208781;0.005484042983321835;0.37444736020773356;0.266763152043418;1.5907894387910249
17;0.10999801982352116;-0.31499373929142155;0.005491707946009755;0.14223529099778576;0.278999993880272;1.777941137472322
18;-0.34001830031944824;-0.7099897858449435;0.19100918026029692;-0.1307812471313775;0.278999993880272;1.889062458564342
19;-0.11499722243888039;-0.7099990234648387;0.1909899345913258;0.04353191393876585;0.4610425430787474;1.2861701845544455
20;0.11001916714395121;-0.7100024344060117;0.19099728157461968;0.04353191393876585;0.4610425430787474;1.2861701845544455
21;-0.3400005041811902;-0.5125028037754692;0.19100923263410366;-0.22493022762440537;0.48230231500233073;1.4058139226525335
22;-0.11501206289172121;-0.5124936381840048;0.19099738043071157;0.307304341085517;0.44073912076738625;1.3141304059578032
23;0.11000113434438893;-0.5125012409131021;0.19099406800108637;0.08602499811308388;0.48359998939247156;1.5112499668514736
24;-0.33999689184810006;-0.31499918827441886;0.19099837426132815;-0.18599999592018138;0.5114999887804987;1.6791666298349706
25;-0.11499838472854348;-0.315009415548756;0.19100432960774474;0.36007691517881263;0.46499998980045343;1.5499999660015114
26;0.10999410242797043;-0.3149995168296232;0.19099565885305228;0.13402940882483658;0.508764694722849;1.777941137472322
